an.onset	onset detector for arrays / детектор атаки для массивов
list.append	append elements to the end of a list / добавляет элементы в конец списка
list.apply_to	modifies specified list elements via a side-chain / обрабатывает указанные элементы списка через боковую церь обработки
list.at	outputs the previously specified elements of the input list / выводит предварительно указанные элементы входящего списка
list.choice	outputs random element from list / вывод случайного элемента из списка
list.contains	checks if the input list contains specified elements / проверяет, содержит ли входной список предварительно указанные элементы
list.convolve	convolution for lists / операция свертки для списков
list.conv	convolution for lists / операция свертки для списков
list.correlate	lists cross-correlation / взаимная корреляция между списками
list.count	output the number of items that equal to specified value / выводить количество элементов, равных заданному значению
list.count_if	output the number of items that satisfy to a side-chain predicate / выводит число элементов, удовлетворяющих внешнему предикату боковой цепи обработки
list.delta	outputs and saves the list of differences between the current and the previously saved list / выводит и сохраняет список разностей между текущим и предыдущим сохраненным списком
list.distribution	output list value distribution / выводит список распределения значений в списке
list.do	iterate and modify the list contents via a side-chain / итерирование и изменение содержимого списка через боковую цепь обработки
list.each	maps a list value via an external side-chain / отображает каждое значение списка через внешнюю боковую цепь обработки
list.enumerate	enumerates list elements / нумерует элементы списка
list.equal	list equal check / проверка списков на равенство
list.first	output the first list element / выводит первый элемент списка
list.gen	generates a list of the specified length via a side-chain generator / генерирует список указанной длины через генератор боковой цепи
list.histogram	outputs a list distribution histogram / выводит гистограмму распределений списка
list.hist	outputs a list distribution histogram / выводит гистограмму распределений списка
list.insert	insert elements into the specified list position / вставляет элементы в указанную позицию в списке
list.integrator	outputs and stores the list of sums between the previously stored list and the current one / выводит и сохраняет список сумм между ранее сохраненным списком и текущим
list.last	output the last list element / выводит последний элемент списка
list.length	output the number of elements in the list / выводит количество элементов в списке
list.size	output the number of elements in the list / выводит количество элементов в списке
list.map	map list values by specified dictionary
list.max	output the largest list element / выводит самый большой элемент в списке
list.mean	calculates the average value in a list / вычисляет среднее значение в списке
list.average	calculates the average value in a list / вычисляет среднее значение в списке
list.min	returns the smallest list element / возвращает наименьший элемент в списке
list.none_of	checks if none of list elements is accepted by the predicate side-chain / проверяет, что ни один из элементов не принимается предикатом боковой цепи обработки
list.normalize	normalizes numeric list values to get their sum equal to 1.0 / нормализует числовые значения списка, чтобы их сумма была равна единице
list.pass	leave in list only specified elements / оставлять в списке только указанные элементы
list.pass_if	leave only elements accepted by side-chain predicate / оставляет в списке только элементы, принятые предикатом боковой цепи обработки
list.filter	leave only elements accepted by side-chain predicate / оставляет в списке только элементы, принятые предикатом боковой цепи обработки
list.prepend	insert elements into a list beginning / вставить элементы в начало списка
list.product	calculates the product of all numbers in a list / вычисляет произведение всех чисел в списке
list.range	outputs list smallest and largest elements / выводит минимальный и максимальный элемент в списке
list.minmax	outputs list smallest and largest elements / выводит минимальный и максимальный элемент в списке
list.reduce	transforms the list into a single value through side-chain processing / преобразование списка к единственному значению через боковую цепь обработки
list.foldl	transforms the list into a single value through side-chain processing / преобразование списка к единственному значению через боковую цепь обработки
list.reject	remove specified elements from the list / удаляет указанные элементы из списка
list.remove	remove list elements at specified positions / удалить элементы списка по указанным позициям
list.remove_if	remove list elements by the side-chain predicate / удалить элементы списка при помощи предиката боковой цепи
list.repack	repack the list into a sequence of lists of the specified size / переупаковать список в последовательность списков определенного размера
list.repeat	creates a list based on the repetitions of the original list / создает список на основе повторов исходного списка
list.resample	resamples the values in the list with the specified length ratio / пересемплирует значения в списке с указанным соотношением длины
list.r	resamples the values in the list with the specified length ratio / пересемплирует значения в списке с указанным соотношением длины
list.resize	changes the list size / изменяет длину списка
list.reverse	reverses the order of the elements in the list / меняет порядок элементов в списке на обратный
list.rldecode	run-length decoding lists / декодирование повторов в списках
list.unwrap	run-length decoding lists / декодирование повторов в списках
list.rlencode	run-length encoding for lists / кодирование повторов в списках
list.wrap	run-length encoding for lists / кодирование повторов в списках
list.rotate	a cyclic list rotation by an integer number of steps / циклическое вращение списка на целое число шагов
list.<<	a cyclic list rotation by an integer number of steps / циклическое вращение списка на целое число шагов
list.>>	a cyclic list rotation by an integer number of steps / циклическое вращение списка на целое число шагов
list.route	routes the list by the first element, like [route] object / маршрутизирует список по первому элементу, как объект [route]
list.rundiff	Computes the difference between the adjacent elements of the input list / вычисляет разницу между соседними элементами входного списка
list.runsum	outputs the list of positional sums which is updated upon each incoming list / выводит список позиционных сумм, который обновляется при каждом входящем списке
list.search	outputs the positions of pre-defined elements in the input list / выводит позиции предварительно заданных элементов во входном списке
list.separate	outputs each list item in turn as a separate message / поочередно выводит каждый элемент списка в виде отдельного сообщения
list.sep	outputs each list item in turn as a separate message / поочередно выводит каждый элемент списка в виде отдельного сообщения
list.seq	generates a sequence of numbers in the form of a list / генерирует последовательноть чисел в виде списка
list.set	sets the value of the list item at the specified position / устанавливает значение элемента списка в указанной позиции
list.shift	cyclic shift of a list by a real number with a linear Interpolation / циклический сдвиг списка на вещественное число с линейной интерполяцией
list.shuffle	rearranges the elements of the list in a random order / переставляет элементы списка в случайном порядке
list.slice	outputs a sublist / выводит подсписок
list.sort	sorts the list in ascending order / сортирует список в порядке возрастания
list.sort_with	sorts the list using a side processing chain / сортирует список при помощи боковой цепи обработки
list.split	divides the list into two parts at the specified index position / разделяет список на две части по указанному индексу
list.stretch	changes the length of the list by adjusting its values using linear interpolation / изменяет длину списка, изменяя его значения с помощью линейной интерполяции
list.sum	calculates the sum of the elements in the list / вычисляет сумму элементов в списке
list.unique	removes duplicates from the list / удаляет дубликаты из списка
list.unpack	unpacks list elements into corresponding object outlets / распаковывает элементы списка в соответствующие им выходы объекта
list.unzip	unpacks the input list into N lists of interleaved elements / распаковывает входной список на N списков из чередующихся элементов
list.deinterleave	unpacks the input list into N lists of interleaved elements / распаковывает входной список на N списков из чередующихся элементов
list.walk	various algorithms for traversing elements in a list / различные алгоритмы обхода элементов в списке
list.zip	creates an interleaved list of items from N input lists / создает чередующийся список элементов из N входных списков
list.interleave	creates an interleaved list of items from N input lists / создает чередующийся список элементов из N входных списков
live.capture~	record up to 32 seconds of sound and playback the recorded sound in loop / запись до 32 секунд звука и его воспроизведение в петле
local.dict	local named dict object / локальный для патча словарь
local.json	local named dict object / локальный для патча словарь
local.float	canvas-scoped named float variable / локальное для патча именованное число с плавающей точкой
local.int	canvas-scoped named integer variable / локальное для патча именованное целое число
local.list	a local named list object / локальный для патча именованный список
local.mlist	local named List object / локальный для патча именованный многоуровневый список
local.set	local named set object / локальное для патча именованное множество
math.abs	absolute value function / абсолютное значение
math.abs~	absolute value function for signals / функция абсолютного значения для сигналов
math.acos	arc cosine function / арккосинус
math.acosh	inverse hyperbolic cosine function / обратный гиперболический косинус
math.acosh~	hyperbolic arc cosine for signals / обратный гиперболический косинус для сигналов
math.acos~	arc cosine function for signals / арккосинус для сигналов
math.and	operation AND for multiple arguments / операция И для множества аргументов
ceammc/and	operation AND for multiple arguments / операция И для множества аргументов
and	operation AND for multiple arguments / операция И для множества аргументов
math.approx	checks if the input value is approximately equal to the pattern / проверить, если входное значение приблизительно равно образцу
ceammc/approx	checks if the input value is approximately equal to the pattern / проверить, если входное значение приблизительно равно образцу
approx	checks if the input value is approximately equal to the pattern / проверить, если входное значение приблизительно равно образцу
math.asin	arc sine function / арксинус
math.asinh	inverse hyperbolic sine function / обратный гиперболический синус
math.asinh~	hyperbolic arc sine for signals / обратный гиперболической синус для сигналов
math.asin~	arc sine for signals / арксинус для сигналов
math.atan	arc tangent function / арктангенс
math.atanh	inverse hyperbolic tangent function / обратный гиперболический тангенс
math.atanh~	hyperbolic arc tangent for signals / обратный гиперболический тангенс для сигналов
math.atan~	arc tangent for signals / арктангенс для сигналов
math.binomial	binomial coefficient calculator / калькулятор биномиальных коэффициентов
math.nck	binomial coefficient calculator / калькулятор биномиальных коэффициентов
math.cabs~	magnitude of a complex signals / абсолютное значение комплексного сигнала
ceammc/cabs~	magnitude of a complex signals / абсолютное значение комплексного сигнала
cabs~	magnitude of a complex signals / абсолютное значение комплексного сигнала
math.carg~	phase angle of a complex signals / фазовый угол комплексных сигналов
ceammc/carg~	phase angle of a complex signals / фазовый угол комплексных сигналов
carg~	phase angle of a complex signals / фазовый угол комплексных сигналов
math.cbrt	cube root function / кубический корень
math.cbrt~	cube root function for signals / кубический корень для сигналов
math.cdiv~	division of complex signals / деление комплексных сигналов
ceammc/cdiv~	division of complex signals / деление комплексных сигналов
cdiv~	division of complex signals / деление комплексных сигналов
math.ceil	round to the smallest integral value not less than input value / округление до наименьшего целого значения, которое не меньше входного
math.ceil~	round to the smallest integral value not less than input value / округление до наименьшего целого значения, которое не менее входного
math.cexp~	exponent of a complex signals / комплексная экспонента для сигналов
ceammc/cexp~	exponent of a complex signals / комплексная экспонента для сигналов
cexp~	exponent of a complex signals / комплексная экспонента для сигналов
math.cmul~	multiplication of complex signals / умножение комплексных сигналов
ceammc/cmul~	multiplication of complex signals / умножение комплексных сигналов
cmul~	multiplication of complex signals / умножение комплексных сигналов
math.cos	cosine function / функция косинуса
math.cosh	hyperbolic cosine function / гиперболический косинус
math.cosh~	hyperbolic cosine for signals / гиперболический косинус для сигналов
math.cos~	cosine function / функция косинуса
math.div	division / деление
math./	division / деление
math.e	mathematical constant, base of the natural logarithm / математическая константа, основание натурального логарифма
math.erf	error function / функция ошибок
math.erf~	error function for signals / функция ошибок для сигналов
math.exp	base-e exponential function / экспоненциальная функция на основе числа e
math.exp2	base-2 exponential function / экспоненциальная функция на основе 2
math.exp2~	base-2 exponential for signal / экспоненциальная функция на основе 2 для сигналов
math.expr	dynamic version of [expr] object / динамическая версия объекта [expr]
math.exp~	base-e exponential function for signals / экспоненциальная функция для сигналов на основе числа e
math.floor	round to the largest integral value not greater than input value / округление до наибольшего целого значения, не превышающего входное значение
math.floor~	round to the largest integral value not greater than input value / округление до наибольшего целого значения, не превышающего входного значения
math.gamma	gamma function / гамма-функция
math.gamma~	gamma function for signals / гамма-функция для сигналов
math.gcd	calculate the greatest common divisor / вычисляет наибольший общий делитель
math.inf	output infinity value in the IEEE 754 standard / выводит бесконечное значение в стандарте IEEE 754
math.inf~	output infinity value in the IEEE 754 standard / выводит бесконечное значение в стандарте IEEE 754
math.lcm	calculates the least common multiple / вычисляет наименьшее общее кратное
math.lgamma	natural logarithm of the absolute value of the gamma function / натуральный логарифм абсолютного значения гамма-функции
math.lgamma~	natural logarithm of the absolute value of the gamma function for signals / натуральный логарифм абсолютного значения гамма-функции для сигналов
math.log	natural logarithm / натуральный логарифм
math.log10	base-10 logarithm / логарифм по основанию 10
math.log10~	base-10 logarithm / логарифм по основанию 10
math.log2	base-2 logarithm / логарифм по основанию 2
math.log2~	base-2 logarithm for signals / логарифм по основанию 2 для сигналов
math.log~	natural logarithm for signals / натуральный логарифм для сигналов
math.mul	multiplication / умножение
math.*	multiplication / умножение
math.nan	Not a Number, unrepresentable value / Не число, непредставимое значение
math.nan~	NaN signal / сигнал NaN
math.neg	negate function / отрицательная функция
ceammc/-x	negate function / отрицательная функция
-x	negate function / отрицательная функция
math.or	operation OR for multiple arguments / операция ИЛИ для множества аргументов
ceammc/or	operation OR for multiple arguments / операция ИЛИ для множества аргументов
or	operation OR for multiple arguments / операция ИЛИ для множества аргументов
math.pi	the mathematical constant π and its multiples / математическая константа π и её произведения
ceammc/pi	the mathematical constant π and its multiples / математическая константа π и её произведения
pi	the mathematical constant π and its multiples / математическая константа π и её произведения
math.pi~	mathematical constant π / математическая константа π
ceammc/pi~	mathematical constant π / математическая константа π
pi~	mathematical constant π / математическая константа π
math.polyeval	evaluates the polynomial described by the coefficients list / вычисляет многочлен, описанный списком коэффициентов
math.reciprocal	calculate reciprocal number / вычислить обратное значение
ceammc/1/x	calculate reciprocal number / вычислить обратное значение
1/x	calculate reciprocal number / вычислить обратное значение
math.reciprocal~	calculate reciprocal number for signals / вычислить обратное значение для сигналов
ceammc/1/x~	calculate reciprocal number for signals / вычислить обратное значение для сигналов
1/x~	calculate reciprocal number for signals / вычислить обратное значение для сигналов
math.round	round to integral value, regardless of rounding direction / округление до ближайшего целого значения
round	round to integral value, regardless of rounding direction / округление до ближайшего целого значения
ceammc/round	round to integral value, regardless of rounding direction / округление до ближайшего целого значения
math.round~	signal round / округление сигнала до ближайшего целого значения
round~	signal round / округление сигнала до ближайшего целого значения
ceammc/round~	signal round / округление сигнала до ближайшего целого значения
math.sign	sign function / знаковая функция
math.sin	sine function / функция синуса
math.sinh	hyperbolic sine function / гиперболическая функция синуса
math.sinh~	hyperbolic sine for signals / гиперболический синус для сигналов
math.sin~	sine function / функция синуса
math.sqrt	square root function / функция квадратного корня
math.sqrt~	square root for signal / квадратный корень для сигнала
math.squared	value square / возведение в квадрат
math.^2	value square / возведение в квадрат
ceammc/^2	value square / возведение в квадрат
^2	value square / возведение в квадрат
math.squared~	signal value square / возведение в квадрат
math.^2~	signal value square / возведение в квадрат
ceammc/^2~	signal value square / возведение в квадрат
^2~	signal value square / возведение в квадрат
math.sync_add	sync addition / синхронное сложение
math.+'	sync addition / синхронное сложение
ceammc/+'	sync addition / синхронное сложение
+'	sync addition / синхронное сложение
math.sync_and	sync logical AND operation / синхронное логическое И
math.&&'	sync logical AND operation / синхронное логическое И
ceammc/&&'	sync logical AND operation / синхронное логическое И
&&'	sync logical AND operation / синхронное логическое И
math.sync_div	sync division / синхронное деление
math./'	sync division / синхронное деление
ceammc//'	sync division / синхронное деление
/'	sync division / синхронное деление
math.sync_eq	sync equal numbers check / синхронная проверка на равенство
math.=='	sync equal numbers check / синхронная проверка на равенство
ceammc/=='	sync equal numbers check / синхронная проверка на равенство
=='	sync equal numbers check / синхронная проверка на равенство
math.sync_ge	sync greater equal numbers compare / синхронная проверка на больше или равно
math.>='	sync greater equal numbers compare / синхронная проверка на больше или равно
ceammc/>='	sync greater equal numbers compare / синхронная проверка на больше или равно
>='	sync greater equal numbers compare / синхронная проверка на больше или равно
math.sync_gt	sync greater than numbers compare / синхронная проверка на большее значение
math.>'	sync greater than numbers compare / синхронная проверка на большее значение
ceammc/>'	sync greater than numbers compare / синхронная проверка на большее значение
>'	sync greater than numbers compare / синхронная проверка на большее значение
math.sync_le	sync less equal numbers compare / синхронная проверка на меньше или равно
math.<='	sync less equal numbers compare / синхронная проверка на меньше или равно
ceammc/<='	sync less equal numbers compare / синхронная проверка на меньше или равно
<='	sync less equal numbers compare / синхронная проверка на меньше или равно
math.sync_lshift	sync signed bit left shift / синхронный битовый сдвиг налево
math.<<'	sync signed bit left shift / синхронный битовый сдвиг налево
ceammc/<<'	sync signed bit left shift / синхронный битовый сдвиг налево
<<'	sync signed bit left shift / синхронный битовый сдвиг налево
math.sync_lt	sync less than numbers compare / синхронная проверка на меньшее значение
math.<'	sync less than numbers compare / синхронная проверка на меньшее значение
ceammc/<'	sync less than numbers compare / синхронная проверка на меньшее значение
<'	sync less than numbers compare / синхронная проверка на меньшее значение
math.sync_mod	sync remainder of modulo division (float or integer) / синхронный остаток от деления по модулю (с плавающей точкой или целое)
math.%'	sync remainder of modulo division (float or integer) / синхронный остаток от деления по модулю (с плавающей точкой или целое)
ceammc/%'	sync remainder of modulo division (float or integer) / синхронный остаток от деления по модулю (с плавающей точкой или целое)
%'	sync remainder of modulo division (float or integer) / синхронный остаток от деления по модулю (с плавающей точкой или целое)
math.sync_mul	sync multiplication / синхронное умножение
math.*'	sync multiplication / синхронное умножение
ceammc/*'	sync multiplication / синхронное умножение
*'	sync multiplication / синхронное умножение
math.sync_ne	sync numbers for not equality / синхронная проверка на неравенство
math.!='	sync numbers for not equality / синхронная проверка на неравенство
ceammc/!='	sync numbers for not equality / синхронная проверка на неравенство
!='	sync numbers for not equality / синхронная проверка на неравенство
math.sync_or	sync logical OR operation / синхронная логическая операция И
math.||'	sync logical OR operation / синхронная логическая операция И
ceammc/||'	sync logical OR operation / синхронная логическая операция И
||'	sync logical OR operation / синхронная логическая операция И
math.sync_rshift	sync signed bit right shift / синхронный битовый сдвиг вправо
math.>>'	sync signed bit right shift / синхронный битовый сдвиг вправо
ceammc/>>'	sync signed bit right shift / синхронный битовый сдвиг вправо
>>'	sync signed bit right shift / синхронный битовый сдвиг вправо
math.sync_sub	sync subtraction / синхронное вычитание
math.-'	sync subtraction / синхронное вычитание
ceammc/-'	sync subtraction / синхронное вычитание
-'	sync subtraction / синхронное вычитание
math.sync_xor	sync logical XOR operation / логическая операция исключающее ИЛИ
math.^'	sync logical XOR operation / логическая операция исключающее ИЛИ
ceammc/^'	sync logical XOR operation / логическая операция исключающее ИЛИ
^'	sync logical XOR operation / логическая операция исключающее ИЛИ
math.tan	tangent function / тангенс
math.tanh	hyperbolic tangent function / гиперболический тангенс
math.tanh~	hyperbolic tangent for signals / гиперболический тангенс для сигналов
math.tan~	tangent function / тангенс
math.trunc	truncate to integer value / усечение до целочисленного значения
math.trunc~	truncate to integer value / усечение до целочисленного значения
midi.arp	MIDI arpeggiator / MIDI арпеджиатор
midi.cc	enhanced version of vanilla [ctlin] / усовершенствованная версия [ctlin]
midi.clock	MIDI-clock
midi.ctl2str	converts Standard MIDI Controllers number to name / преобразует номер стандартного MIDI контроллера в имя
midi.ctl->str	converts Standard MIDI Controllers number to name / преобразует номер стандартного MIDI контроллера в имя
midi.event2ctl	converts the MidiEvent message into the controller channel/value pair / конвертирует сообщение MidiEvent в пару канал/значение
midi.ev->ctl	converts the MidiEvent message into the controller channel/value pair / конвертирует сообщение MidiEvent в пару канал/значение
midi.event2note	converts the MidiEvent message into the midi note/velocity pair / конвертирует сообщение MidiEvent в пару нота/сила нажатия
midi.ev->note	converts the MidiEvent message into the midi note/velocity pair / конвертирует сообщение MidiEvent в пару нота/сила нажатия
midi.event2prg	converts the MidiEvent message into the program change / конвертирует сообщение MidiEvent в MIDI: изменение программы
midi.ev->prg	converts the MidiEvent message into the program change / конвертирует сообщение MidiEvent в MIDI: изменение программы
midi.file	the standard midi file (SMF) reader and writer / чтение и запись стандартных MIDI файлов (SMF)
midi.kbd	computer keyboard MIDI emulator / эмулятор MIDI клавиатуры c помощью клавиатуры компьютера
midi.key2str	converts the MIDI-key into the SPN name format / преобразует номер MIDI-клавиши в имя ноты в формате SPN
midi.key->str	converts the MIDI-key into the SPN name format / преобразует номер MIDI-клавиши в имя ноты в формате SPN
midi.modus	snap or skip MIDI-pitches according the specified modus / приводит или удаляет MIDI-ноты согласно указанному ладу
midi.note.pass	passes MIDI notes according to the calculated expression / пропускает MIDI-ноты согласно вычисляемому выражению
note.pass	passes MIDI notes according to the calculated expression / пропускает MIDI-ноты согласно вычисляемому выражению
midi.oct	MIDI octave transposition / октавная MIDI транспозиция
midi.prg2str	converts the GM Instrument number into the name / преобразует номер инструмента GeneralMidi в его имя
midi.prg->str	converts the GM Instrument number into the name / преобразует номер инструмента GeneralMidi в его имя
midi.split	MIDI note range splitter / разбивает MIDI ноты на диапазоны
midi.sustain	sustain pedal emulation / эмуляция педали сустейна
midi.sysex	output sysex input messages as a list / выводит входные sysex сообщения в виде списка
midi.track	extracts the track from MidiFile message / извлекает трек из сообщения MidiFile
midi.tuning	apply the tuning for notes flow / применяет настройку для нотного потока
midi.vramp	apply crescendo or diminuendo for notes flow / применяет crescendo или diminuendo для потока нот
midi.vrand	midi velocity randomizer / рандомизатор силы нажатия MIDI
click~	outputs a single impulse on a bang input / выводит единичный импульс при пустом входном событии
ceammc/click~	outputs a single impulse on a bang input / выводит единичный импульс при пустом входном событии
fluid~	FluidSynth SoundFont 2 player / плеер для семплов FluidSynth SoundFont 2
ceammc/fluid~	FluidSynth SoundFont 2 player / плеер для семплов FluidSynth SoundFont 2
modplug~	MOD file player / плеер файлов MOD
ceammc/modplug~	MOD file player / плеер файлов MOD
qrcode	QR code generator / генератор QR кода
ceammc/qrcode	QR code generator / генератор QR кода
risset.gliss	Sheppard/Risset glissando calculator / калькулятор для глиссандо Шеппарда/Риссе
sfizz~	SFZ format sample player / плеер семплов в формате SFZ
ceammc/sfizz~	SFZ format sample player / плеер семплов в формате SFZ
speech.flite	render speech to array / рендеринг синтезатора речи в массив
speech.flite~	Flite text to speech synthesis / синтезатор речи Flite
speech.rhvoice~	RHVoice text to speech synthesis / синтезатор речи RHVoice
ceammc/rhvoice~	RHVoice text to speech synthesis / синтезатор речи RHVoice
rhvoice~	RHVoice text to speech synthesis / синтезатор речи RHVoice
speech.whisper~	speech recognition / распознование речи
ceammc/whisper~	speech recognition / распознование речи
whisper~	speech recognition / распознование речи
loadexpr	sends the message when the patch loads / отправить сообщение при загрузке патча
ceammc/loadexpr	sends the message when the patch loads / отправить сообщение при загрузке патча
msg	message constructor / конструктор сообщений
ceammc/msg	message constructor / конструктор сообщений
ceammc/m	message constructor / конструктор сообщений
m	message constructor / конструктор сообщений
ceammc/prepend	message constructor / конструктор сообщений
prepend	message constructor / конструктор сообщений
msg.after	sends the specified message following the forwarded incoming message / отправляет указанное сообщение после пересылки входящего сообщения
msg.onclose	send a message when closing a patch / отправить сообщение при закрытии патча
msg.onload	send the specified message upon patch loading / отправить указанное сообщение при загрузе патча
ceammc/loadmsg	send the specified message upon patch loading / отправить указанное сообщение при загрузе патча
loadmsg	send the specified message upon patch loading / отправить указанное сообщение при загрузе патча
msg.pack	message pack / упаковка сообщений
msg.sched	message dispatch scheduler / планировщик отправки сообщений
msg.unpack	message unpack to selector and arguments / распаковка сообщения на селектор и аргументы
rhythm.euclid	Euclid pattern generator / генератор эвклидовых паттернов
rhythm.hexbeat	hexbeat pattern generator / генератор ритмического паттерна по шестнадцатиричным значениям
rhythm.lsystem	L-system pattern generator / генератор ритмического рисунка на основе L-систем
net.artnet.send	ArtNet DMX message sender / отправление сообщений ArtNet DMX
artnet.send	ArtNet DMX message sender / отправление сообщений ArtNet DMX
net.freesound	Freesound API v2 client / клиент для Freesound API v2
net.host2ip	outputs IP address by DNS name / выводит IP-адрес по имени DNS
net.host->ip	outputs IP address by DNS name / выводит IP-адрес по имени DNS
net.http.client	HTTP client / HTTP клиент
http.client	HTTP client / HTTP клиент
net.http.send	HTTP request sender / отправляет HTTP запросы
http.send	HTTP request sender / отправляет HTTP запросы
net.mdns	MDNS service discovery / обнаружение служб MDNS
net.mqtt.client	MQTT client / MQTT клиент
mqtt.client	MQTT client / MQTT клиент
net.osc.receive	receiving messages from the OSC protocol / получение сообщений протокола OSC
net.osc.r	receiving messages from the OSC protocol / получение сообщений протокола OSC
net.osc.send	sending messages via the OSC protocol / отправка сообщений протокола OSC
net.osc.s	sending messages via the OSC protocol / отправка сообщений протокола OSC
net.osc.server	OSC server control / управление сервером OSC
net.osc	OSC server control / управление сервером OSC
net.ws.client	WebSocket client / WebSocket клиент
net.ws.server	WebSocket server / WebSocket сервер
noise.baker	Baker map chaos generator / хаотический генератор на основе преобразования Пекаря
noise.chua~	Chua's diode circuit / диодная схема цепи Чуа
noise.clifford	Clifford attractor / аттрактор Клиффорда
noise.collatz	collatz conjecture output / выводит число последовательности Коллаца
noise.colored~	colored noise generator with an arbitrary spectral roll / генератор цветного шума с произвольным наклоном спектра
noise.crackle~	sparse noise generator / генератор разреженного шума
noise.duffing	chaotic generator based on a Duffing oscillator / хаотический генератор на основе осциллятора Дуффинга
noise.ginger	Gingerbreadman map chaotic generator / хаотический генератор на основе отображения Пряничного человечка
noise.henon	Henon map chaos attractor / хаотический генератор на основе отображения Эно
noise.henon_heilles	Hénon–Heiles_system
noise.henon_phase	henon phase diagrams / фазовые диаграммы Эно
noise.henonf	Henon phase
noise.ikeda	Ikeda attractor / генератор хаоса на основе отображения Икеды
noise.lfreq0~	sampled/held noise (piecewise constant) / семплированный/удержанный шум (кусочно постоянный)
noise.lfreq~	[noise.lfreq0~] smoothed with no overshoot / сглаженный шум объекта [noise.lfreq0~]
noise.lorenz	Lorenz chaos attractor / хаотический атрактор Лоренца
noise.lyapunov	lyapunov random attractor / случайный аттрактор Ляпунова
noise.navier_stokes	Navier-Stokes differential equations / дифференциальные уравнения Навье-Стокса
noise.pink~	pink noise generator / генератор розового шума
noise.rossler	Rössler attractor / аттрактор Рёсслера
noise.stein	Stein distribution / распределение Штейна
noise.torus	torus attractor / аттрактор в виде тора
noise.verhulst	Verhulst distribution / распределение Ферхюльста
noise.white~	white noise generator / генератор белого шума
osc.blit~	bandlimited oscillator with controllable harmonics / генератор с ограниченным спектром и управлением гармониками
osc.impulse~	bandlimited impulse train generator / генератор импульсного сигнала с ограниченным спектром
osc.pulse~	bandlimited pulse train oscillator / осциллятор прямоугольной волны с ограниченным спектром
